,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.9,0.98,1.01,1.02,1.02,16,39,61,69,79,77.2,0.63,0.69,0.16,0.99,69,4.7,45.7,2471,1083,-153,0.87,0.98,70.2,14.7,1561,1714,49.5
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.8,0.95,0.92,0.91,0.98,3,10,27,31,47,71.9,0.64,0.69,0.13,0.98,71.5,4.5,49.8,1421,624,-78,0.67,0.89,69.6,11.8,904,982,57.4
lunAtic,https://hltv.org/stats/players/9798/lunAtic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0,0,0,0.86,0.91,0,0,0,9,15,68.3,0.65,0.64,0.12,0.98,69.4,4.9,32.8,1322,600,5,1.15,1.02,71.5,13.3,856,851,50
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.92,0.93,0.99,0.99,1,29,46,92,103,113,71.9,0.63,0.67,0.17,0.96,69.8,7.1,37.7,3134,1374,-110,0.77,0.89,76.8,11.4,1988,2098,50.8
gade,https://hltv.org/stats/players/8875/gade?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.98,1.01,0.94,0.97,1,22,45,80,107,131,70.8,0.65,0.68,0.11,1.02,68.6,3.7,53.7,3725,1614,-112,0.82,0.98,74.4,15.7,2425,2537,52.9
blocker,https://hltv.org/stats/players/10697/blocker?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,1.06,0.94,0.92,0.92,0.98,3,9,24,28,41,72.7,0.65,0.7,0.14,0.97,70,4,51.3,1319,607,-54,0.95,0.96,79.7,13.7,863,917,50
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.82,0.93,0.91,0.92,0.98,3,11,24,27,38,69.3,0.63,0.66,0.12,0.97,70.2,4.7,57.6,1406,617,-44,0.91,0.97,65.2,12.4,890,934,59.6
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.87,0.87,0.92,0.95,0.96,18,35,54,70,80,71.7,0.66,0.67,0.11,0.98,67,3.6,44.8,2424,1068,-20,1.17,0.97,68.6,11.9,1596,1616,47.3
loWel,https://hltv.org/stats/players/3997/loWel?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.95,0.93,0.97,1,1,7,11,28,44,53,69.1,0.64,0.64,0.1,0.84,71.3,3.6,53,1596,718,9,0.86,0.85,73.1,8.9,1023,1014,51.7
VINI,https://hltv.org/stats/players/12822/VINI?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.86,0.95,0.94,0.95,0.99,18,44,78,96,144,72.5,0.64,0.68,0.13,0.99,68.2,4.3,50.8,4120,1793,-181,0.86,0.96,73.6,13.4,2630,2811,49.4
wannafly,https://hltv.org/stats/players/13461/wannafly?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.38,0.41,0.41,0.41,0.41,1,3,3,3,3,70.1,0.63,0.68,0.15,0.94,70.9,2.7,41.6,1362,600,-65,0.84,0.93,83.2,13.3,859,924,52.8
arvid,https://hltv.org/stats/players/9325/arvid?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.54,0.54,0.77,0.82,0.88,2,2,10,11,13,71.3,0.64,0.71,0.13,1.04,68.5,4.7,42.9,1341,588,-95,1,1.06,76.4,17.6,857,952,48.1
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1,0.65,0.61,0.61,0.61,0.83,2,6,10,14,21,75.1,0.68,0.72,0.13,1,68.7,3.6,54,1603,743,-76,0.86,0.98,66.7,14.7,1084,1160,52.4
phr,https://hltv.org/stats/players/11891/phr?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0,1.01,0.92,0.92,0.94,0,6,25,37,50,68.8,0.61,0.64,0.13,0.89,70.7,6.2,50.4,2076,920,-47,1.1,0.96,77.9,12.6,1276,1323,52.6
Gratisfaction,https://hltv.org/stats/players/9686/Gratisfaction?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0.86,0.93,0.97,0.96,0.98,30,65,96,101,116,66,0.62,0.64,0.11,1.01,67.5,3,31.8,3192,1342,-84,1,1.05,76.4,17.1,1967,2051,50.4
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0.93,1.04,0.93,0.95,0.93,2,6,27,36,50,72.3,0.6,0.65,0.15,0.92,68.5,6.4,41.3,2224,926,-119,0.72,0.87,74.5,10.8,1330,1449,47.6
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0.95,0.94,0.96,0.98,0.98,37,71,132,152,175,70.2,0.64,0.68,0.12,0.97,68.1,4.4,46.2,4920,2173,-179,0.84,0.94,74,12.4,3164,3343,50.3
denis,https://hltv.org/stats/players/7511/denis?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0.44,0.69,0.82,0.85,0.89,3,6,33,47,59,73.4,0.66,0.71,0.11,1.02,66.7,3.4,46.5,2412,1081,-130,0.88,1,68.6,14.8,1593,1723,55.4
NaToSaphiX,https://hltv.org/stats/players/9294/NaToSaphiX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.99,0.89,0.92,0.85,0.87,0.88,15,18,33,37,39,66.3,0.63,0.64,0.11,0.92,69.7,2.3,36,1428,619,-15,1.16,0.99,76.6,13.9,898,913,52.7
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.84,0.94,0.95,0.96,0.98,10,17,27,37,45,72,0.64,0.7,0.13,1,66.6,4.9,52.4,1341,591,-75,1.04,1.02,63,13.2,863,938,46.9
reversive,https://hltv.org/stats/players/9221/reversive?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.59,0.81,0.79,0.84,0.86,1,5,12,17,19,71.6,0.63,0.68,0.14,0.9,69.6,5.1,45.9,1552,691,-80,0.98,0.93,60.8,10.3,975,1055,45
Pizituh,https://hltv.org/stats/players/4005/Pizituh?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0,0,0,0,0.74,0,0,0,0,2,68.1,0.6,0.66,0.12,0.95,69.5,5,48.2,1305,564,-79,0.89,0.97,77.8,16,786,865,48
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.74,0.84,0.86,0.86,0.88,4,19,39,49,63,68.6,0.64,0.68,0.13,0.94,69.5,2,47.1,2537,1108,-105,0.72,0.88,78.1,12.2,1611,1716,45
xand,https://hltv.org/stats/players/9218/xand?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.79,0.93,0.88,0.89,0.93,1,9,20,30,43,71.3,0.64,0.68,0.13,0.93,68,4.2,50.2,1485,650,-60,0.83,0.9,70.9,12.2,955,1015,51.7
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.97,0.95,0.97,0.96,0.97,29,50,110,123,141,70.1,0.59,0.65,0.15,0.9,69.9,5.5,43.5,3948,1654,-220,0.93,0.93,75.2,12,2345,2565,49.3
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.98,0.96,0.97,0.97,0.98,34,58,97,123,136,71.9,0.64,0.69,0.14,0.95,68,4.1,49.3,3819,1674,-207,0.97,0.96,71.2,13.1,2427,2634,47.9
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.98,0.93,0.92,0.95,0.95,0.97,38,74,118,124,141,70.4,0.61,0.67,0.13,0.93,68.5,6,50.5,3895,1650,-227,0.81,0.92,71.5,12.1,2387,2614,46.9
BuJ,https://hltv.org/stats/players/10109/BuJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0,0,0,0,0.49,0,0,0,0,2,65.4,0.62,0.67,0.12,0.96,68.4,3.7,27.6,1305,553,-67,1.09,1,72.6,14.7,804,871,48
RpK,https://hltv.org/stats/players/7169/RpK?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.94,0.95,0.94,0.94,0.95,37,71,132,152,175,66.3,0.62,0.65,0.12,0.88,70,3.8,49.4,4920,2088,-163,0.85,0.87,77,9.7,3028,3191,49.2
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.99,1,0.94,0.95,0.97,20,29,39,41,46,72.6,0.64,0.69,0.14,0.95,67.8,5,46.7,1328,582,-65,0.69,0.87,67,11.2,854,919,46
DickStacy,https://hltv.org/stats/players/12876/DickStacy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.89,0.89,0.88,0.88,0.92,10,22,38,41,55,67.2,0.59,0.67,0.14,0.91,71.3,5.4,46.7,2425,996,-200,0.88,0.97,70.5,12.8,1421,1621,49.5
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.86,0.93,0.94,0.94,0.96,34,73,109,119,138,69.3,0.63,0.67,0.13,0.92,68.1,4.2,50.7,3815,1661,-159,0.85,0.89,68.6,10,2416,2575,48.3
yel,https://hltv.org/stats/players/10560/yel?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.65,0.89,0.94,0.94,0.94,1,9,20,30,43,67.1,0.6,0.65,0.11,0.93,67.1,3.7,32.8,1485,617,-75,1.05,1.01,65.6,14.5,884,959,48.3
fitch,https://hltv.org/stats/players/10052/fitch?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.97,0.87,0.88,0.83,0.87,0.94,7,10,23,25,39,70.5,0.62,0.68,0.13,0.96,66.5,5.2,47.6,1414,598,-96,0.79,0.95,73,13.7,871,967,54.9
SANJI,https://hltv.org/stats/players/11716/SANJI?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.97,0.91,0.93,0.93,0.95,11,24,51,61,83,68.1,0.61,0.67,0.12,0.9,68.4,3.9,62.7,2500,1059,-151,0.86,0.93,66.8,11.3,1517,1668,41.8
ableJ,https://hltv.org/stats/players/16770/ableJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.9,0.89,0.89,0.93,0.96,11,23,42,52,83,66.7,0.61,0.65,0.12,0.82,70.2,3.6,51,2228,963,-92,1.01,0.91,67.3,9.1,1356,1448,41.9
mirbit,https://hltv.org/stats/players/11701/mirbit?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.76,0.91,0.84,0.88,0.9,2,5,17,19,32,64.2,0.57,0.6,0.11,0.79,70.4,4.3,42.3,1569,649,-54,0.99,0.86,66.7,8,895,949,44.1
dephh,https://hltv.org/stats/players/7873/dephh?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.86,0.95,0.96,0.97,0.97,13,25,34,42,49,73.4,0.64,0.73,0.15,0.98,66,3.7,50.4,1349,591,-121,0.76,0.93,67.5,14.1,859,980,35.3
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.81,0.87,0.87,0.92,0.93,11,27,36,50,60,70.2,0.61,0.69,0.14,0.93,67.6,4,50.7,1735,738,-131,0.83,0.93,70.9,12.5,1064,1195,47.1
max,https://hltv.org/stats/players/12092/max?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.66,0.61,0.66,0.74,0.74,1,5,12,17,19,71.2,0.61,0.68,0.14,0.86,68.6,3.5,44.9,1552,666,-118,0.88,0.89,69.9,10.7,940,1058,36.7
xartE,https://hltv.org/stats/players/7537/xartE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.37,0.37,0.75,0.76,0.82,2,2,10,11,13,70.2,0.59,0.65,0.15,0.87,67.1,7.3,39,1341,556,-86,0.82,0.85,69.9,8.5,787,873,50
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.96,0.92,0.91,0.94,0.93,0.91,14,22,28,34,43,71.5,0.64,0.69,0.11,0.89,66.7,5,48,1299,575,-69,0.74,0.86,64.8,9.6,831,900,42.9
KHRN,https://hltv.org/stats/players/971/KHRN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.95,0.7,0.7,0.72,0.77,0.83,2,2,10,11,13,67.6,0.6,0.65,0.13,0.8,69.5,4.7,47.3,1341,567,-78,0.78,0.85,71.4,8.8,799,877,46.3
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.95,0.82,0.86,0.88,0.89,0.93,16,22,36,40,52,70.8,0.63,0.7,0.11,0.99,63.9,3.7,48.8,1500,626,-110,0.83,0.96,71.4,15.4,943,1053,39.3
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.95,0.9,0.89,0.92,0.92,0.93,24,51,95,124,144,70.5,0.59,0.71,0.14,0.97,66.6,5.7,47.4,4342,1780,-493,0.75,0.96,75.9,14.6,2578,3071,43.9
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.95,0.83,0.88,0.91,0.93,0.94,27,63,100,115,140,66.3,0.59,0.65,0.11,0.85,68.4,4.5,49,4169,1801,-226,0.92,0.93,70.3,11.8,2480,2706,43.1
LETN1,https://hltv.org/stats/players/4216/LETN1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.95,0.73,0.82,0.89,0.9,0.89,7,15,46,67,88,63.4,0.57,0.62,0.12,0.82,70,5,51.3,2834,1158,-137,0.7,0.87,78.3,11.4,1625,1762,37.4
Lucaozy,https://hltv.org/stats/players/18717/Lucaozy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.94,0,0,0,1.04,0.93,0,0,0,5,15,65,0.62,0.66,0.08,0.79,69.5,2.2,50.2,1670,727,-66,0.74,0.84,67.3,8.6,1030,1096,42.4
Golden,https://hltv.org/stats/players/11110/Golden?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.94,0.87,0.86,0.9,0.92,0.91,23,53,89,95,104,68.5,0.61,0.69,0.13,0.94,66.4,5.8,53.4,3068,1284,-244,0.78,0.93,72.6,13,1870,2114,42.2
BLOODZ,https://hltv.org/stats/players/10110/BLOODZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.94,0,0,0,0,0.51,0,0,0,0,2,66.6,0.59,0.68,0.13,0.87,67.9,5.4,46.4,1305,564,-109,1,0.95,62.5,11.5,774,883,44
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.94,0.89,0.88,0.89,0.9,0.92,24,48,82,100,117,67,0.58,0.65,0.13,0.84,67.5,4.6,48,3409,1387,-252,0.74,0.87,75.8,11,1966,2218,38.3
1962,https://hltv.org/stats/players/12094/1962?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.93,0.51,0.74,0.68,0.79,0.77,1,5,12,17,19,67.8,0.61,0.74,0.13,1.01,66.2,3.9,51.2,1552,664,-193,0.87,1.01,76.6,17.8,954,1147,38.3
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.92,0.78,0.87,0.93,0.93,0.92,13,39,75,87,93,64.8,0.56,0.66,0.14,0.84,68.2,5.8,46.4,2574,1031,-259,1.02,0.94,72.5,11.2,1434,1693,42.1
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.92,0.78,0.8,0.89,0.91,0.92,18,27,66,79,93,66.9,0.57,0.66,0.15,0.81,67.3,6.7,42.9,2719,1118,-227,0.85,0.85,72.6,8.7,1556,1783,37.6
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.92,0.77,0.81,0.87,0.9,0.92,19,38,62,72,84,69.4,0.61,0.7,0.12,0.89,65.2,3.5,49.8,2486,1046,-243,0.76,0.89,72.7,11.8,1507,1750,34.8
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.92,0.89,0.84,0.84,0.84,0.88,3,12,31,35,47,67.2,0.58,0.68,0.14,0.81,67.6,4.7,46.4,1482,607,-154,0.83,0.89,72.6,10.9,859,1013,33.9
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.91,0.77,0.73,0.82,0.86,0.9,5,12,18,32,46,64.9,0.58,0.67,0.13,0.79,68.5,2.4,47.7,1954,832,-175,0.79,0.87,70,10,1138,1313,36.6
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.89,0.76,0.73,0.73,0.82,0.86,10,25,36,48,53,69.8,0.58,0.76,0.13,1,62.7,5,53.2,1703,681,-304,0.75,1.02,69.2,18,990,1294,38.5
daps,https://hltv.org/stats/players/8521/daps?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.88,0.8,0.83,0.85,0.85,0.87,22,39,71,80,96,62.3,0.53,0.66,0.12,0.73,67.5,4,40.9,2724,1073,-350,0.72,0.84,68.2,8.6,1453,1803,25.7
tiziaN,https://hltv.org/stats/players/5796/tiziaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.88,0.62,0.78,0.79,0.86,0.88,10,21,48,68,77,64.7,0.58,0.7,0.11,0.82,64.1,4.9,52.9,2337,956,-282,0.79,0.89,68.7,11.9,1344,1626,33.7
HUNDEN,https://hltv.org/stats/players/7415/HUNDEN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.86,0,0.8,0.83,0.85,0.82,0,5,16,26,42,60.8,0.53,0.68,0.13,0.74,67.2,6.2,51.1,1913,757,-292,0.69,0.84,85.5,11,1014,1306,31
advent,https://hltv.org/stats/players/8600/advent?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.85,0.64,0.69,0.74,0.78,0.78,7,17,34,38,52,57,0.5,0.65,0.13,0.68,68.7,5.3,45,2459,899,-379,0.7,0.82,74.5,8.3,1226,1605,28.7
gob b,https://hltv.org/stats/players/136/gob%20b?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,0.83,0.72,0.79,0.78,0.79,0.82,10,16,34,45,52,60.6,0.5,0.68,0.12,0.69,66.6,5.8,46.3,1535,563,-268,0.67,0.81,70.5,9.1,775,1043,25.4
