,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,1.04,1.12,1.1,1.11,1.12,31,70,114,148,167,75.6,0.73,0.61,0.11,1.15,71.1,3.4,31.6,5041,2453,582,1.45,1.11,77.3,16.9,3664,3082,71.1
FL1T,https://hltv.org/stats/players/12732/FL1T?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,0,0.99,1.07,1.1,1.08,0,14,23,45,58,79,0.72,0.63,0.14,1.08,73,4,45.1,2039,986,192,1.3,1,75.4,12.4,1471,1279,74
BORKUM,https://hltv.org/stats/players/13994/BORKUM?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,0,0,0.99,0.99,0.98,0,0,2,2,8,79.9,0.72,0.62,0.13,1.1,72.2,4.8,50.6,1363,643,129,1.03,0.97,73.4,12,979,850,67.9
smooya,https://hltv.org/stats/players/11271/smooya?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,1.04,1,0.99,1.02,1.05,4,16,32,46,54,75.7,0.75,0.63,0.09,1.19,69.4,2.2,26.1,2235,1099,262,1.36,1.15,79.3,20.1,1673,1411,67.9
HEN1,https://hltv.org/stats/players/8565/HEN1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,1.05,1.14,1.1,1.09,1.1,6,23,35,42,56,71.2,0.69,0.56,0.1,1.03,73.7,3.6,29.1,1861,870,244,1.45,1,64.2,10.9,1280,1036,66.7
frozen,https://hltv.org/stats/players/9960/frozen?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,1.07,1.07,1.11,1.12,1.12,24,49,93,122,130,78.3,0.71,0.61,0.13,1.03,74.1,5.8,52.2,3987,1910,392,1.04,0.96,75.5,11.7,2827,2435,70.7
biguzera,https://hltv.org/stats/players/18141/biguzera?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0,1.33,1.14,1.14,1.01,0,2,4,4,7,80.5,0.71,0.65,0.16,1.12,72.2,4.8,52.5,1645,790,100,1.07,1,73.3,13.5,1166,1066,74.1
Kntz,https://hltv.org/stats/players/10705/Kntz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0,0,1.04,1.04,0.97,0,0,3,3,14,78.1,0.74,0.64,0.12,1.04,74,3.1,47.6,1741,863,170,1.06,0.95,79.6,11.9,1285,1115,65.7
JamYoung,https://hltv.org/stats/players/19645/JamYoung?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0.71,0.78,0.81,0.96,0.97,2,5,10,14,19,77.3,0.72,0.63,0.12,1.08,73.2,2.3,50.7,1394,670,122,1.31,1.04,71,12.9,1002,880,62.3
acoR,https://hltv.org/stats/players/10330/acoR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0,1.03,1.1,1.12,1.11,0,5,16,26,42,73.9,0.71,0.59,0.1,1.08,71.9,3.6,29.5,1913,930,214,1.4,1.1,75,15.9,1351,1137,73.2
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0.83,0.94,1.03,1.07,1.06,5,12,18,32,46,82.2,0.71,0.66,0.17,1.14,71.4,7,42.1,1954,940,103,1.38,1.06,72.8,15,1394,1291,70.4
SHiPZ,https://hltv.org/stats/players/11343/SHiPZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.13,0.84,0.96,1.04,1.01,1.09,3,13,33,52,70,82.4,0.76,0.69,0.13,1.18,69.3,3.2,50.1,2176,1098,155,1.31,1.12,76,17.9,1664,1509,64.3
WARDELL,https://hltv.org/stats/players/11264/WARDELL?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.12,0.84,0.91,0.98,1,1.01,9,13,21,24,30,75.1,0.73,0.64,0.1,1.19,69.5,2.2,24.6,1880,894,174,1.34,1.15,72.1,18.3,1379,1205,65.7
JUST,https://hltv.org/stats/players/8998/JUST?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.12,0,0,0,1.07,1.16,0,0,0,3,6,76.3,0.7,0.6,0.13,1.06,72.9,5.6,56.4,1457,649,139,0.92,0.9,79.6,10.3,1015,876,66.7
Ethan,https://hltv.org/stats/players/10671/Ethan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.12,1.01,1.05,1.08,1.1,1.12,46,88,149,163,187,81,0.7,0.66,0.16,1.13,71.6,4.9,47.7,5232,2471,210,1.03,1.04,73.3,15.4,3674,3464,70.9
pr,https://hltv.org/stats/players/15885/pr?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.12,0,0,0,0.82,0.83,0,0,0,3,6,76.3,0.72,0.65,0.13,1.09,73.8,2.4,52.6,1457,681,103,0.97,0.99,72.4,12.6,1047,944,68.4
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.12,1.09,1.07,1.09,1.1,1.11,29,50,110,123,141,77.8,0.71,0.65,0.13,1.11,72.5,3.6,52.3,3948,1910,251,1.07,1.03,71.8,14.6,2805,2554,67.3
cbbk,https://hltv.org/stats/players/10764/cbbk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.12,0.6,0.51,0.51,0.51,0.51,1,3,3,3,3,78.5,0.71,0.65,0.15,1.11,72.5,3,50.7,1362,643,78,0.89,0.95,75.6,12.5,970,892,67.9
Pro.,https://hltv.org/stats/players/12270/Pro.?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.12,0,0,0.66,0.66,0.79,0,0,2,2,8,75.6,0.69,0.63,0.15,1.06,74.5,5.8,43.3,1363,644,89,1.21,1.02,78.5,14,941,852,62.3
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.12,0.95,1.05,1.07,1.08,1.11,34,73,109,119,138,79.6,0.71,0.7,0.15,1.22,71.4,3.9,50.5,3768,1799,60,1.02,1.13,73.7,19.9,2685,2625,65.5
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.11,1.03,1.06,1.08,1.08,1.11,48,89,116,124,142,75,0.67,0.58,0.16,0.99,74.9,7.6,39.6,3841,1767,323,1.07,0.92,78.4,9.9,2562,2239,68.5
allu,https://hltv.org/stats/players/695/allu?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.11,1.02,1.04,1.06,1.08,1.1,29,50,110,123,141,73.3,0.72,0.62,0.1,1.12,70.5,3.8,25.8,3948,1914,393,1.77,1.16,73.7,17.1,2823,2430,66
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.11,0,1.12,1.04,1.04,1.05,0,4,22,36,48,78.2,0.72,0.66,0.11,1.06,72.4,3.7,51.4,1677,832,106,1.07,1.01,75.4,14.8,1211,1105,69.4
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.11,1.11,1.09,1.09,1.1,1.11,46,88,149,163,187,71.4,0.71,0.61,0.1,1.1,72.1,2.1,27.8,5232,2526,485,1.49,1.15,73.8,17.4,3692,3207,66.3
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.11,1.08,1.06,1.08,1.08,1.1,48,89,116,124,142,73.6,0.71,0.62,0.12,1.09,72.5,3.8,48.8,3841,1823,333,1.15,1.05,78.3,14.5,2714,2381,63.7
stk,https://hltv.org/stats/players/12129/stk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.11,0,0,1.04,1.04,1.05,0,0,3,3,8,76.7,0.68,0.65,0.15,1.05,74.6,2.5,39.1,1250,578,44,1.09,1.01,77.6,14,855,811,66
valde,https://hltv.org/stats/players/9031/valde?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.11,0.97,1.01,1.05,1.09,1.1,17,37,70,89,109,78.1,0.7,0.64,0.13,1.07,71.3,5.2,48.4,3137,1482,192,1.41,1.03,77.1,14.8,2202,2010,63.8
iDISBALANCE,https://hltv.org/stats/players/14273/iDISBALANCE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.11,0.97,0.97,1.02,1.06,1.05,3,11,18,21,38,74.1,0.72,0.65,0.09,1.15,70.3,2.5,27.9,1651,820,112,1.37,1.2,72.6,20.6,1192,1080,65.6
