,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
Kntz,https://hltv.org/stats/players/10705/Kntz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0,0,0,0.72,0.76,0,0,0,3,6,77.2,0.74,0.66,0.11,1.01,71.3,2.5,45.1,1198,609,104,1.5,0.98,77.1,12.4,890,786,62.5
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.76,1.08,1.08,1.08,1.09,6,22,54,64,80,75.8,0.7,0.64,0.12,1.01,71.2,3.8,41.5,2122,987,124,1.09,0.94,74.7,11.5,1488,1364,63.7
Zellsis,https://hltv.org/stats/players/13188/Zellsis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.5,0.71,0.68,0.85,0.98,2,5,7,16,31,79.9,0.71,0.68,0.15,1.07,70.9,5.1,44,1817,883,50,0.91,0.98,76.4,14.4,1292,1242,66.2
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0,0.93,1.06,1.03,1.04,0,2,28,37,44,72.7,0.67,0.63,0.12,1.09,71.8,2.3,34.8,1480,674,60,0.98,1.05,77.6,15.9,996,936,59.6
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.97,1.02,1.06,1.09,1.1,12,39,70,83,92,75,0.73,0.66,0.1,1.1,69.2,3.3,31.7,2676,1306,167,1.33,1.06,74.5,15.8,1946,1779,60
hampus,https://hltv.org/stats/players/9766/hampus?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,1.04,1.14,1.06,1.04,1.05,2,5,34,53,57,80.4,0.72,0.69,0.16,1.13,69.1,4,37.6,1866,897,42,0.95,1.02,72.6,15.2,1335,1293,59.2
qqGOD,https://hltv.org/stats/players/9289/qqGOD?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0,0,0,1.12,0.97,0,0,0,5,10,78.5,0.71,0.68,0.15,1.13,69.7,3.4,38.8,1148,530,36,0.87,0.99,68.3,13.8,814,778,60.9
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.96,1,1.01,1.02,1.03,60,89,117,134,142,77.1,0.69,0.67,0.15,1.12,70.3,2.7,37.7,4209,1961,101,1.01,1.03,73.2,15,2923,2822,59.1
Cooper-,https://hltv.org/stats/players/15007/Cooper-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.75,0.84,0.78,0.87,1.01,2,5,7,13,27,73.6,0.72,0.65,0.08,1.08,69.2,2.2,34.8,1501,733,110,1.5,1.15,69.4,16.8,1081,971,58.6
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0,0.92,1.05,1.05,1.08,0,4,17,39,72,75.5,0.69,0.66,0.13,1.06,71.3,3,51.2,2601,1223,96,0.96,0.99,69.4,13.3,1800,1704,59.2
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,1.02,1.04,1.01,0.98,1.04,3,8,11,22,35,79,0.73,0.71,0.15,1.13,69.9,4.6,51.2,1464,702,36,1.02,0.99,72.9,13.8,1069,1033,63
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.95,1,1.05,1.06,1.08,31,48,73,91,110,77.7,0.69,0.67,0.14,1.08,70.8,4.3,50.7,2935,1406,54,1.02,1.07,71.1,16.6,2023,1969,63.4
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.98,1.01,1.04,1.04,1.06,50,92,119,137,159,69.2,0.67,0.6,0.1,1.04,71.7,3.8,30.5,4619,2108,306,1.47,1.11,69.9,15.3,3079,2773,63.8
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,1.03,1.03,1.06,1.06,1.07,39,58,88,108,129,74.5,0.69,0.65,0.13,1.08,70.9,2.9,49.9,3567,1655,137,1.21,1.04,73.1,14.3,2449,2312,61
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.81,0.87,0.88,1,1.04,2,8,11,16,23,78.8,0.71,0.69,0.13,1.11,69.1,4.2,49,1581,755,38,1.11,1.07,70.6,16.9,1127,1089,60.7
to1nou,https://hltv.org/stats/players/7982/to1nou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.97,1,0.99,1.04,1.04,6,12,13,22,33,70.6,0.7,0.64,0.1,1.06,70.3,2.2,30.1,1410,660,84,1.39,1.08,76.5,15.9,983,899,57.9
Brollan,https://hltv.org/stats/players/13666/Brollan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.98,0.93,1.02,1.04,1.06,8,11,42,66,72,76,0.7,0.68,0.12,1.12,70,4.1,53,2291,1064,67,0.98,1.04,72.8,15.9,1614,1547,59.3
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.93,0.94,0.96,0.99,1.01,14,28,69,91,110,78.7,0.71,0.71,0.14,1.14,69.7,3.4,43.7,3706,1754,-6,0.96,1.06,71.3,17.5,2625,2631,58
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0.92,0.98,1.04,1.04,1.07,31,48,73,91,110,74,0.7,0.65,0.12,1.05,70.8,3.9,55.3,2935,1415,145,1.25,1.04,76.4,15.3,2044,1899,58.9
vanity,https://hltv.org/stats/players/12089/vanity?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.08,0,0,0,1.21,0.99,0,0,0,3,15,76.5,0.69,0.67,0.15,1.13,70.5,4.1,42.3,1089,505,21,0.93,1.06,77.3,17.7,751,730,64.4
Ace,https://hltv.org/stats/players/13273/Ace?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0,1.12,1.01,1.02,0.99,0,4,7,20,32,71.9,0.68,0.64,0.12,1.07,71.5,2.3,34,1649,762,67,1.23,1.1,72.8,17.1,1122,1055,61.9
dazzLe,https://hltv.org/stats/players/11064/dazzLe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,1.69,1.09,1.02,0.98,0.99,1,5,9,24,37,80.6,0.71,0.72,0.15,1.19,68.5,3.1,39.2,1959,925,-22,0.86,1.05,78.1,19,1389,1411,64
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.78,0.76,0.9,0.92,0.97,2,6,16,17,26,81.5,0.71,0.72,0.16,1.21,67.3,3.8,41.7,1683,786,-13,0.97,1.09,71.6,18.9,1198,1211,58.7
moxie,https://hltv.org/stats/players/9169/moxie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0,0,0.98,0.91,0.86,0,0,2,9,12,73.2,0.69,0.62,0.11,0.98,70.6,5,49.8,1294,595,89,1.17,0.91,85.2,11.3,888,799,55.8
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.96,0.93,1.04,1.06,1.07,20,43,83,108,124,76.8,0.69,0.67,0.14,1.08,70,4.4,54,3572,1691,95,0.88,0.99,71.7,14.7,2481,2386,59
vice,https://hltv.org/stats/players/9260/vice?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.07,1.05,1.05,1.01,1.01,1.01,2,2,6,12,31,71.9,0.66,0.64,0.13,0.99,74,2.2,49.8,1314,612,30,1.22,1.02,74.2,13.2,866,836,59.6
dapr,https://hltv.org/stats/players/11586/dapr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.9,1.05,1.04,1.07,1.03,1,5,9,23,39,78,0.69,0.67,0.15,1.04,70.7,5.4,44.5,2185,986,42,0.81,0.93,76.3,12.9,1502,1460,57.5
smooya,https://hltv.org/stats/players/11271/smooya?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.93,0.92,1.01,1.02,1.02,17,32,59,70,76,72.7,0.71,0.66,0.09,1.17,67.4,2.5,26.1,2398,1113,115,1.32,1.19,71.2,19.9,1695,1580,60.9
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.96,1.01,1.02,1.07,1.06,41,85,118,156,171,75.1,0.68,0.65,0.13,1.02,71.3,3.3,51.6,4475,2104,131,1.03,1.01,78.9,15,3051,2920,60.6
reatz,https://hltv.org/stats/players/8242/reatz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0,0.87,0.97,1.03,1.03,0,4,17,39,70,74.3,0.7,0.66,0.12,1.01,71.9,2,50.5,2955,1398,124,1.06,0.96,71.5,12.2,2078,1954,61.8
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.3,0.72,0.68,0.78,0.9,2,5,7,16,31,78.2,0.68,0.68,0.15,1.06,70.9,4.4,48.2,1648,770,0,0.9,0.98,73.5,14.3,1116,1116,56.2
splashske,https://hltv.org/stats/players/8943/splashske?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,1.07,0.93,0.79,0.82,0.84,1,2,12,22,28,72.2,0.69,0.66,0.11,1.11,69.2,2.9,33.6,1596,735,42,1.36,1.13,68.6,17.4,1102,1060,54.7
ToM223,https://hltv.org/stats/players/15300/ToM223?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0,0,0.79,0.88,0.82,0,0,6,8,10,75.2,0.69,0.65,0.13,0.99,71.5,2.7,44.7,1212,573,49,0.91,0.92,68.8,10.9,836,787,54.3
paz,https://hltv.org/stats/players/9353/paz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.78,0.95,0.97,1.04,1.05,5,19,29,47,65,72.8,0.7,0.65,0.11,1.07,69.9,1.7,47.5,1975,931,97,0.94,0.98,71.4,13.8,1387,1290,60
zeff,https://hltv.org/stats/players/4637/zeff?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,0.93,0.82,0.89,0.9,0.94,4,13,29,41,50,77.9,0.68,0.71,0.17,1.12,70.6,5.6,41.5,2523,1147,-74,0.94,1.07,75,18.3,1705,1779,54.1
twist,https://hltv.org/stats/players/7443/twist?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.07,1.03,0.97,1.05,1.05,1.04,8,11,42,63,68,73.4,0.68,0.65,0.11,1.05,70.3,3.9,34.8,2172,1031,77,1.21,1.09,69.2,15.3,1479,1402,56.8
JW,https://hltv.org/stats/players/3849/JW?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.99,1,1.02,1.04,1.04,36,59,84,95,105,77.4,0.7,0.7,0.13,1.17,67.1,4.4,40.9,3129,1450,8,1.06,1.1,74.6,18.5,2186,2178,58.5
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,1.05,1.03,1.04,1.05,1.06,26,64,88,97,100,75,0.68,0.65,0.13,1.02,70.8,4.8,51.9,2815,1301,87,0.93,0.94,76.4,12.2,1914,1827,60.7
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.98,0.92,1,1.04,1.06,4,20,34,43,45,77.3,0.7,0.68,0.13,1.03,70.2,3.3,50.9,1166,554,26,0.82,0.93,79.4,12.8,814,788,60.9
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.6,0.88,1.04,1.02,1.04,1,8,24,36,50,77.3,0.66,0.66,0.14,1.05,69.7,7.4,47,1585,713,-2,1.08,1.04,72.9,15.9,1050,1052,62.1
byali,https://hltv.org/stats/players/5386/byali?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.97,0.96,1.05,1.04,1.05,10,24,47,53,73,78,0.7,0.68,0.13,1.01,70.1,4.1,56.5,2091,1002,42,1.14,0.98,65.4,12.3,1454,1412,53.8
arvid,https://hltv.org/stats/players/9325/arvid?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0,0,0.49,0.49,0.88,0,0,2,2,10,78.6,0.7,0.69,0.15,1.1,68.2,4.9,40,1344,609,14,0.99,1,72.6,14.6,939,925,66
nex,https://hltv.org/stats/players/7256/nex?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,1.09,1.06,1.04,1.04,1.06,18,36,66,88,95,76.7,0.69,0.66,0.14,1.01,70.7,5.7,52.8,2732,1258,77,1.06,0.92,77.8,11.6,1884,1807,52.4
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,1,1.01,1.04,1.04,1.05,37,64,88,98,107,80.9,0.66,0.68,0.17,1.08,68.7,9.3,41.3,3010,1378,-63,1.17,1.04,75.1,15.7,1998,2061,55.3
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.91,0.95,1,1.02,1.03,63,95,129,152,172,76.6,0.67,0.68,0.14,1.09,69.3,5.7,51.8,4975,2262,-52,0.96,1.06,75.3,17.1,3355,3407,63.7
neptune,https://hltv.org/stats/players/12101/neptune?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.85,0.87,0.88,0.88,0.91,3,10,14,19,24,73.6,0.7,0.68,0.13,1.02,72.6,3.1,55.2,1549,737,26,1.04,0.99,74.7,13.4,1078,1052,56.1
Jame,https://hltv.org/stats/players/13776/Jame?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.92,0.99,1.05,1.09,1.08,7,21,40,45,59,69.1,0.66,0.6,0.08,1.04,68.7,2.8,27.9,1854,851,120,1.23,1.06,70.1,16,1224,1104,58.9
mou,https://hltv.org/stats/players/964/mou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,1.05,0.99,1.05,1.05,1.05,15,39,68,85,98,73.3,0.72,0.67,0.1,1.1,67.9,3.9,25.4,2829,1360,128,1.06,1.06,68.1,16.5,2024,1896,61
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,1.18,1.05,1.05,1,1.05,6,11,28,37,42,75.9,0.69,0.7,0.14,1.18,67.8,3.8,54.4,1334,596,-12,0.98,1.07,73,18.3,921,933,58
Dima,https://hltv.org/stats/players/8125/Dima?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.06,0.94,0.94,1,1.04,1.02,2,2,7,25,33,77.7,0.68,0.73,0.17,1.14,70.5,3.2,52.5,1385,636,-72,0.83,1.06,77.3,19.3,936,1008,57.4
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0.94,0.97,1.03,1.04,1.05,11,20,35,44,52,74.6,0.69,0.68,0.11,1.05,69.6,3.3,39.7,1610,751,15,1.01,1.03,64.9,14.8,1113,1098,58.3
TENZKI,https://hltv.org/stats/players/5287/TENZKI?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0,0,0.92,0.96,0.96,0,0,17,22,32,73,0.65,0.64,0.14,0.97,72.1,3.4,52,1264,572,9,1.05,0.98,77.6,13,816,807,63.3
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0.97,0.99,1.03,1.03,1.03,13,28,55,63,94,76.5,0.71,0.72,0.12,1.12,67.8,3.9,55.1,2761,1315,-11,0.93,1.02,68.8,16.2,1971,1982,59
stfN,https://hltv.org/stats/players/8800/stfN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0,0,0,1.18,0.99,0,0,0,2,8,74.3,0.68,0.66,0.12,1,70.1,3.4,48.1,1327,610,29,0.87,0.92,85.3,13.7,908,879,54.9
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0.44,0.82,1,0.99,1,1,9,25,38,53,69.8,0.68,0.64,0.08,1.03,69.1,2.5,35,1718,796,78,1.32,1.09,72.4,16.8,1171,1093,60.3
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,1.01,0.99,1.02,1.03,1.04,58,113,148,177,185,69.4,0.63,0.62,0.12,1,71.7,5,40.9,4845,2115,24,1.01,1.01,78.4,15.5,3050,3026,56.6
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.05,0.88,0.96,0.91,0.96,0.99,4,10,11,18,29,78,0.71,0.72,0.12,1.13,66.8,2.2,45,1119,528,-13,0.79,1.01,71.4,15.8,797,810,57.8
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0,0.92,1.24,0.99,0.91,0,1,3,14,25,74.5,0.68,0.67,0.13,0.99,70.2,3.1,52,1194,553,8,1.25,0.97,71,12.2,806,798,54.3
buster,https://hltv.org/stats/players/11942/buster?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.89,0.94,1.03,1.03,1.04,7,21,40,45,59,71.9,0.68,0.64,0.11,1.02,70.2,2.1,46.1,1900,886,66,1.09,1.02,67.3,14.8,1285,1219,58.7
Hobbit,https://hltv.org/stats/players/8528/Hobbit?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,1.01,0.93,0.99,1.02,1.02,18,44,74,98,112,76.3,0.7,0.69,0.13,1.05,68.8,5.5,44.8,3210,1503,20,0.93,0.98,70.6,14.5,2232,2212,55.4
niko,https://hltv.org/stats/players/10264/niko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.9,0.95,1,1.03,1.04,18,42,68,79,104,73,0.66,0.65,0.12,0.96,71.5,3.8,48.1,2929,1328,46,0.92,0.93,70.9,11.6,1938,1892,56.8
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,1.02,0.99,1.06,1.05,1.04,21,40,80,107,123,73.7,0.65,0.65,0.12,1.02,68.8,3.7,54.5,3562,1572,19,0.97,0.95,71.5,12.2,2325,2306,59.4
waterfaLLZ,https://hltv.org/stats/players/8727/waterfaLLZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.58,0.83,0.91,0.93,0.93,2,6,16,17,26,71,0.71,0.68,0.1,1.09,68.3,2.7,26.3,1544,733,41,1.04,1.03,75.3,16.7,1098,1057,55.2
xccurate,https://hltv.org/stats/players/10263/xccurate?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.77,0.85,0.95,0.99,0.99,14,28,70,94,115,69.6,0.69,0.67,0.08,1.06,68.8,1.4,29.9,4125,1944,92,1.15,1.05,75.5,16.2,2853,2761,58.4
nak,https://hltv.org/stats/players/169/nak?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.71,0.75,0.9,0.94,0.94,3,7,9,14,16,74.2,0.64,0.65,0.13,0.96,70.7,5.6,46.8,1170,509,-10,1.03,0.95,81.8,13.5,750,760,53.3
phr,https://hltv.org/stats/players/11891/phr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,1.14,1.1,0.96,1,1,3,7,32,65,87,73.8,0.66,0.66,0.14,0.94,71.6,5,54.7,3176,1458,11,0.95,0.91,73.6,10.1,2097,2086,55.4
DD,https://hltv.org/stats/players/7026/DD?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,1.03,0.97,0.98,0.99,1,14,28,69,91,110,77.1,0.68,0.71,0.14,1.01,70.2,2.6,39.7,3706,1746,-109,0.87,0.95,71,13.1,2520,2629,54.3
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.04,0.92,0.89,0.92,1.01,1.02,2,5,35,57,61,76.2,0.69,0.68,0.14,0.96,70.4,3.3,45.2,1815,863,11,0.96,0.93,68.5,11.1,1247,1236,62.3
steel,https://hltv.org/stats/players/7382/steel?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.96,0.9,0.92,0.94,0.96,18,37,56,72,80,68.8,0.62,0.68,0.13,0.9,69.2,2.5,39.7,2198,969,-140,0.91,0.94,79.1,13.5,1364,1504,47.6
malta,https://hltv.org/stats/players/11485/malta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.8,0.86,0.79,0.84,0.89,4,9,16,24,33,73.7,0.65,0.67,0.16,0.98,71.8,2.7,34.7,1926,881,-49,1,0.99,68.6,12.4,1245,1294,56.9
ImpressioN,https://hltv.org/stats/players/9339/ImpressioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.61,0.68,0.75,0.83,0.85,1,2,12,22,28,76.1,0.69,0.7,0.13,1.02,69.2,3.9,49.9,1596,750,-21,0.85,0.96,70.4,14,1095,1116,50
yay,https://hltv.org/stats/players/8513/yay?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.46,0.92,0.9,0.92,0.97,1,8,24,36,55,73.8,0.68,0.69,0.13,1.05,68.9,4.2,50.4,1957,870,-33,0.74,0.93,80.3,14.7,1327,1360,46.6
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.96,0.95,1.02,1.02,1.03,10,23,62,78,94,71.7,0.64,0.63,0.14,0.91,72.3,5.2,46.9,2790,1271,28,0.84,0.87,74.5,9.8,1798,1770,56.2
denis,https://hltv.org/stats/players/7511/denis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,1.36,0.88,0.94,0.97,1.03,1,2,19,25,33,78.2,0.69,0.75,0.15,1.14,66.7,4,45,1367,638,-85,1.03,1.11,66.3,18.1,942,1027,54
sAw,https://hltv.org/stats/players/7821/sAw?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0,0,0.71,0.71,0.81,0,0,7,7,12,70.5,0.64,0.63,0.16,0.94,72.1,6.4,49,1597,730,10,0.8,0.89,77.7,10.4,1024,1014,61
oSee,https://hltv.org/stats/players/13249/oSee?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0,0,0,0.97,0.93,0,0,0,3,16,70.4,0.67,0.67,0.11,1.03,69.7,2.1,33.9,1451,664,11,1.01,1.01,77.9,15.1,979,968,49.2
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.94,0.99,0.99,1,1.01,15,39,65,82,95,77.9,0.69,0.72,0.16,1.06,68.7,4.9,49.5,2744,1289,-98,0.86,1,72.6,16.6,1881,1979,55.9
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.03,0.81,0.8,0.9,0.95,1.01,5,13,26,50,68,72.1,0.63,0.64,0.15,0.96,71.3,4.9,44.6,2524,1125,-16,0.93,0.95,74.5,11.8,1598,1614,57.4
BURNRUOk,https://hltv.org/stats/players/9636/BURNRUOk?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0,0,0.73,0.77,0.78,0,0,7,14,16,73.8,0.68,0.7,0.12,1.09,68.1,2.4,46.1,1735,810,-41,1,1.06,77.5,16.8,1179,1220,54.4
draken,https://hltv.org/stats/players/9255/draken?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.92,0.98,1.02,1.01,1.02,22,37,56,63,69,69.2,0.67,0.66,0.1,1.04,68.3,2.1,30.5,1857,870,21,0.98,1.05,68.8,16.7,1241,1220,50.7
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.82,0.74,0.79,0.87,0.9,3,7,17,24,31,68.3,0.65,0.64,0.12,0.97,70,4.4,25.6,1740,799,15,1.23,1.01,75.3,14.2,1124,1109,54.5
jR,https://hltv.org/stats/players/8786/jR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.94,0.9,0.95,0.99,1,6,11,28,37,42,70.1,0.66,0.64,0.1,1.05,67.2,3.1,29.4,1434,664,25,1.14,1.09,71.9,17.6,944,919,55.6
veta,https://hltv.org/stats/players/9304/veta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0,0,0,0.91,0.82,0,0,0,3,6,70,0.65,0.64,0.12,0.97,69.6,3.7,29.4,1198,551,15,1.2,1.03,74.8,14.9,776,761,64.6
xiaosaGe,https://hltv.org/stats/players/11574/xiaosaGe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0,0.82,0.94,0.89,0.82,0,1,5,15,25,79.3,0.68,0.72,0.15,1.06,67.2,5.4,45.5,1669,773,-68,0.91,0.99,67.6,14.1,1138,1206,54.7
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.92,0.95,1,1.01,1.01,59,94,143,163,169,70.5,0.65,0.68,0.11,1.09,68.5,3.2,45,4642,2039,-145,1.08,1.14,70.6,18.6,3009,3154,49.7
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.95,0.94,0.98,0.99,1,42,62,83,96,102,72.4,0.65,0.68,0.14,1,70.7,2.8,46.7,2989,1305,-86,0.89,0.95,71.4,12.6,1939,2025,54.4
RCF,https://hltv.org/stats/players/11337/RCF?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.47,0.72,0.8,0.84,0.86,3,7,9,14,16,71.7,0.66,0.69,0.12,1.07,69.4,3,52.7,1170,528,-44,0.87,1.07,76.8,19.4,768,812,55.6
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.83,0.91,0.95,0.96,0.97,6,13,32,52,61,75.5,0.66,0.68,0.15,1,69,4.7,47.6,2050,938,-40,0.94,0.96,73.4,12.8,1356,1396,54.5
