,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.10125,78.3,0.72,0.66,0.14,1.19,71.4,1.9,211.0,1.21,71.3,66.7
rain,https://hltv.org/stats/players/8183/rain?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0274999999999999,83.3,0.75,0.71,0.15,1.25,70.5,1.9,120.0,1.08,74.2,68.2
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.72375,80.3,0.73,0.67,0.15,1.13,71.2,3.3,168.0,1.24,79.4,64.6
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0155,79.7,0.73,0.67,0.14,1.15,69.4,3.7,160.0,0.99,72.0,60.0
fer,https://hltv.org/stats/players/8564/fer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.0750000000000002,83.2,0.74,0.69,0.18,1.18,71.3,4.1,189.0,1.07,78.2,68.6
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.0750000000000002,77.2,0.73,0.67,0.11,1.09,70.4,2.3,171.0,1.08,76.8,66.7
BARBARR,https://hltv.org/stats/players/44/BARBARR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7570000000000001,78.4,0.72,0.67,0.14,1.13,69.1,4.0,101.0,1.1,74.3,67.1
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.87425,78.1,0.72,0.67,0.13,1.12,71.1,3.5,148.0,1.02,71.4,61.4
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.18899999999999997,82.5,0.74,0.71,0.14,1.14,70.7,3.1,44.0,1.14,67.4,60.3
Rickeh,https://hltv.org/stats/players/8745/Rickeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6957500000000001,74.8,0.69,0.63,0.14,1.12,71.1,4.5,84.0,1.28,76.3,61.5
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0355,81.0,0.73,0.71,0.16,1.22,69.7,3.3,40.0,0.96,74.6,62.0
byali,https://hltv.org/stats/players/5386/byali?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0402500000000001,80.1,0.73,0.67,0.14,1.09,72.1,3.0,192.0,1.31,78.9,68.8
kalle,https://hltv.org/stats/players/646/kalle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.26200000000000007,77.3,0.7,0.66,0.15,1.12,69.9,4.9,68.0,0.85,74.4,62.3
nex,https://hltv.org/stats/players/7256/nex?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9487500000000002,73.6,0.72,0.66,0.14,0.91,70.7,3.8,86.0,1.07,73.3,59.3
fnx,https://hltv.org/stats/players/557/fnx?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.06225,80.5,0.71,0.65,0.17,1.06,72.6,6.3,230.0,0.95,79.4,66.2
fejtZ,https://hltv.org/stats/players/7910/fejtZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.56875,75.6,0.71,0.67,0.13,1.03,71.0,4.0,56.0,0.97,81.2,58.8
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.06425,82.7,0.73,0.7,0.15,1.26,70.8,3.6,99.0,1.05,75.2,68.6
Edward,https://hltv.org/stats/players/483/Edward?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0379999999999998,76.0,0.71,0.66,0.12,1.09,70.0,2.4,155.0,1.03,76.0,60.8
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7335,76.6,0.72,0.67,0.16,1.02,72.3,2.8,221.0,1.05,79.0,65.6
InfrequeNt,https://hltv.org/stats/players/10587/InfrequeNt?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.091,79.1,0.73,0.67,0.14,1.23,69.6,4.5,94.0,1.39,70.5,65.0
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7345000000000002,77.5,0.71,0.66,0.16,1.11,70.6,2.8,87.0,1.12,70.7,64.7
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.00825,79.4,0.7,0.67,0.17,1.15,69.7,4.2,78.0,0.99,75.4,65.7
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.89575,79.5,0.71,0.66,0.16,1.09,72.9,4.3,92.0,1.1,69.9,68.9
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.42724999999999996,80.9,0.72,0.68,0.17,1.13,71.1,5.9,66.0,1.02,71.7,66.7
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.041,73.2,0.7,0.65,0.1,1.12,69.2,1.8,108.0,1.35,76.8,62.5
felps,https://hltv.org/stats/players/9219/felps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0962500000000002,85.2,0.76,0.74,0.16,1.28,68.1,3.3,59.0,1.02,74.2,67.0
STYKO,https://hltv.org/stats/players/6904/STYKO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.73,80.5,0.71,0.68,0.16,1.14,70.0,4.0,70.0,0.94,76.4,57.3
xelos,https://hltv.org/stats/players/5373/xelos?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.71725,80.2,0.71,0.68,0.18,1.08,71.0,6.6,40.0,0.86,81.8,61.8
