,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
RUBINO,https://hltv.org/stats/players/1485/RUBINO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9712500000000001,74.3,0.67,0.68,0.14,1.05,69.0,1.6,-44.0,1.0,73.3,54.0
RpK,https://hltv.org/stats/players/7169/RpK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9714999999999999,72.8,0.66,0.67,0.12,0.94,70.5,1.4,-26.0,0.93,70.6,55.2
NEO,https://hltv.org/stats/players/165/NEO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0219999999999998,79.1,0.67,0.68,0.16,1.07,70.0,5.3,-24.0,1.03,71.7,62.5
MAJ3R,https://hltv.org/stats/players/150/MAJ3R?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.24900000000000003,79.1,0.68,0.68,0.16,1.09,69.2,3.5,-10.0,1.08,81.2,59.6
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.646,78.6,0.7,0.72,0.14,1.15,67.9,3.4,-38.0,0.89,70.6,61.9
markeloff,https://hltv.org/stats/players/338/markeloff?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9507500000000001,73.5,0.67,0.67,0.14,0.93,68.2,4.9,0.0,1.14,68.9,52.4
SIXER,https://hltv.org/stats/players/147/SIXER?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.671,70.9,0.65,0.64,0.13,0.92,69.4,2.3,6.0,0.88,69.6,51.0
Dosia,https://hltv.org/stats/players/735/Dosia?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.656,77.3,0.67,0.68,0.17,0.98,69.5,4.4,-9.0,0.81,79.0,54.2
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9380000000000001,78.8,0.69,0.72,0.16,1.09,70.5,4.5,-53.0,0.93,67.2,63.4
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.98325,72.7,0.65,0.67,0.14,0.93,69.6,4.5,-28.0,1.19,75.0,54.2
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9767499999999999,74.1,0.67,0.67,0.14,0.93,69.8,5.4,-19.0,0.98,74.4,51.1
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9595,74.8,0.66,0.66,0.15,1.0,71.3,3.9,-14.0,0.85,72.7,60.2
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9107500000000001,75.1,0.65,0.67,0.16,1.03,70.0,4.2,-34.0,0.91,74.3,53.8
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.006,70.3,0.64,0.65,0.14,0.97,70.3,3.3,-34.0,0.83,71.5,55.1
Sound,https://hltv.org/stats/players/9175/Sound?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.5290000000000001,75.0,0.67,0.68,0.16,1.05,71.7,3.7,-25.0,1.01,79.3,59.7
wayLander,https://hltv.org/stats/players/7796/wayLander?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.99175,74.7,0.69,0.73,0.12,1.0,65.3,2.5,-91.0,0.76,72.6,45.9
Friis,https://hltv.org/stats/players/7/Friis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.75825,66.2,0.64,0.64,0.1,1.0,67.8,2.2,6.0,1.17,78.0,53.6
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9682499999999998,72.5,0.67,0.69,0.12,1.06,68.1,5.3,-57.0,0.89,73.1,57.8
Zero,https://hltv.org/stats/players/8413/Zero?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6862500000000001,69.1,0.64,0.64,0.12,0.89,71.5,1.9,8.0,1.1,71.9,50.0
Relyks,https://hltv.org/stats/players/8517/Relyks?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7662500000000001,78.7,0.71,0.74,0.14,1.0,67.3,5.0,-43.0,0.83,69.5,44.9
QuQu,https://hltv.org/stats/players/4692/QuQu?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.22925,74.8,0.68,0.7,0.14,1.03,71.7,3.7,-32.0,1.11,69.4,50.9
DEVIL,https://hltv.org/stats/players/8569/DEVIL?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7097499999999999,72.8,0.65,0.67,0.14,0.92,69.4,2.1,-40.0,0.87,72.3,46.6
jdm64,https://hltv.org/stats/players/8346/jdm64?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.93375,70.0,0.66,0.69,0.11,1.04,65.6,2.0,-56.0,1.16,74.3,53.4
TENZKI,https://hltv.org/stats/players/5287/TENZKI?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9455000000000001,72.6,0.65,0.66,0.15,0.93,71.6,3.2,-30.0,0.91,77.9,52.0
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.79525,73.9,0.65,0.67,0.15,0.98,70.4,6.3,-25.0,0.96,70.5,52.4
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.98375,75.7,0.65,0.66,0.17,0.97,69.8,5.2,-42.0,0.85,77.6,58.4
yam,https://hltv.org/stats/players/2555/yam?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6937500000000001,69.5,0.65,0.67,0.11,0.99,68.5,3.9,-30.0,1.05,78.1,50.0
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9009999999999999,73.6,0.66,0.7,0.12,0.98,67.2,1.9,-74.0,0.95,74.0,47.4
0i,https://hltv.org/stats/players/11358/0i?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.26425,76.6,0.68,0.73,0.16,1.03,69.9,2.3,-63.0,0.77,71.3,54.9
333ed2k,https://hltv.org/stats/players/10169/333ed2k?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.195,74.1,0.68,0.72,0.14,0.99,70.2,2.3,-54.0,0.79,64.7,43.1
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.98425,74.5,0.65,0.68,0.16,0.96,70.6,3.4,-82.0,0.89,77.2,52.8
Pizituh,https://hltv.org/stats/players/4005/Pizituh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.40424999999999994,73.1,0.64,0.68,0.17,0.99,70.5,5.6,-44.0,0.89,77.9,51.9
wizard,https://hltv.org/stats/players/9105/wizard?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.05875,74.3,0.66,0.72,0.15,1.04,67.0,2.7,-78.0,0.93,71.8,55.8
juho,https://hltv.org/stats/players/7775/juho?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.38799999999999996,72.5,0.66,0.71,0.13,1.04,67.2,1.7,-67.0,0.88,76.8,44.2
bodyy,https://hltv.org/stats/players/8374/bodyy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9724999999999999,73.9,0.65,0.69,0.14,0.97,69.9,2.0,-103.0,1.02,71.8,52.4
pyth,https://hltv.org/stats/players/7527/pyth?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9740000000000001,69.4,0.65,0.7,0.12,1.03,67.1,2.7,-97.0,1.04,77.6,40.3
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.92625,70.2,0.62,0.65,0.15,0.83,70.4,3.6,-56.0,0.82,70.8,46.2
Rita,https://hltv.org/stats/players/912/Rita?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.23225,74.5,0.65,0.69,0.17,1.01,70.2,5.3,-57.0,1.1,75.6,52.8
kzy,https://hltv.org/stats/players/3517/kzy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6230000000000001,76.4,0.65,0.69,0.15,0.91,68.9,4.6,-51.0,0.95,67.6,49.1
spyleadeR,https://hltv.org/stats/players/3183/spyleadeR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.64425,79.2,0.69,0.76,0.18,1.1,66.0,3.4,-130.0,0.94,74.1,53.7
tiziaN,https://hltv.org/stats/players/5796/tiziaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.76925,75.3,0.65,0.69,0.14,1.05,72.1,3.9,-55.0,0.89,70.1,48.3
SEMPHIS,https://hltv.org/stats/players/1915/SEMPHIS?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.656,68.9,0.64,0.7,0.11,1.01,66.7,2.3,-75.0,0.95,70.3,46.0
zlynx,https://hltv.org/stats/players/8999/zlynx?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.025500000000000002,69.0,0.63,0.69,0.16,1.0,69.5,2.7,-85.0,0.69,77.9,50.0
reltuC,https://hltv.org/stats/players/8137/reltuC?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8505,69.6,0.62,0.68,0.13,0.86,66.6,2.3,-102.0,0.82,72.1,37.7
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9640000000000001,72.8,0.64,0.7,0.15,0.97,68.0,4.3,-156.0,0.8,73.0,45.4
SHOOWTiME,https://hltv.org/stats/players/9220/SHOOWTiME?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8025000000000001,69.4,0.62,0.68,0.15,0.94,68.4,3.5,-111.0,1.12,75.1,44.7
SmithZz,https://hltv.org/stats/players/7170/SmithZz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.90175,66.9,0.62,0.67,0.11,0.98,66.3,1.4,-165.0,0.92,79.8,48.7
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8925000000000001,68.2,0.62,0.68,0.12,0.91,67.6,4.3,-240.0,0.93,73.5,43.6
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6044999999999999,70.5,0.63,0.7,0.15,0.93,69.1,2.6,-158.0,1.01,76.8,47.8
advent,https://hltv.org/stats/players/8600/advent?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6212500000000001,63.8,0.59,0.64,0.13,0.82,71.5,3.7,-205.0,0.83,73.6,41.6
daps,https://hltv.org/stats/players/8521/daps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6190000000000001,70.3,0.61,0.69,0.14,0.89,67.6,3.8,-135.0,0.75,76.3,45.5
AcilioN,https://hltv.org/stats/players/8151/AcilioN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.67175,71.9,0.62,0.69,0.15,0.94,69.3,3.8,-93.0,1.07,70.0,50.0
Maikelele,https://hltv.org/stats/players/1045/Maikelele?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9149999999999999,70.2,0.6,0.67,0.15,0.92,68.9,4.0,-90.0,0.98,68.4,55.8
ryk,https://hltv.org/stats/players/2284/ryk?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.182,69.2,0.63,0.71,0.13,1.0,64.3,3.2,-107.0,0.93,73.5,39.2
hooch,https://hltv.org/stats/players/499/hooch?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7660000000000001,70.4,0.6,0.67,0.16,0.86,67.6,3.0,-110.0,0.8,68.6,40.7
denis,https://hltv.org/stats/players/7511/denis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.993,70.2,0.62,0.72,0.16,0.96,68.5,1.9,-205.0,0.81,77.8,46.2
sonic,https://hltv.org/stats/players/10586/sonic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.07225000000000001,68.0,0.61,0.7,0.12,0.86,66.0,4.0,-112.0,0.89,73.6,40.0
hazed,https://hltv.org/stats/players/8347/hazed?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8530000000000001,72.8,0.63,0.73,0.13,0.93,65.0,3.7,-185.0,0.77,66.5,37.7
Twista,https://hltv.org/stats/players/1964/Twista?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.26275,68.0,0.58,0.67,0.17,0.91,71.1,4.6,-105.0,0.79,73.7,44.9
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8475000000000001,68.9,0.61,0.72,0.14,0.86,65.3,2.7,-180.0,0.65,70.8,31.7
Shara,https://hltv.org/stats/players/1866/Shara?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8622500000000002,71.4,0.61,0.73,0.14,0.9,65.4,2.5,-202.0,0.86,71.2,37.9
B1ad3,https://hltv.org/stats/players/472/B1ad3?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8480000000000001,69.3,0.6,0.72,0.15,0.85,65.2,2.3,-273.0,0.89,71.0,36.9
MSL,https://hltv.org/stats/players/7156/MSL?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8950000000000001,69.8,0.6,0.73,0.15,0.97,66.5,3.0,-496.0,0.74,74.9,45.6
nkl,https://hltv.org/stats/players/5327/nkl?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6205,65.7,0.58,0.7,0.15,0.81,68.7,2.1,-211.0,0.94,74.5,34.3
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.602,68.2,0.59,0.74,0.14,0.89,64.9,2.9,-208.0,0.7,64.3,35.8
pronax,https://hltv.org/stats/players/41/pronax?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.64375,63.5,0.56,0.7,0.13,0.85,66.0,3.6,-309.0,0.74,75.8,33.7
