,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
vilga,https://hltv.org/stats/players/1572/vilga?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.37,0.0,0.0,0.0,0.0,0.0,94.9,0.9,0.64,0.18,1.51,76.3,5.3,48.3,946.0,540.0,244.0,1.71,1.22,86.9,18.8,853.0,609.0,0.0
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.35,1.3,0.93,1.23,1.23,1.33,98.4,0.88,0.68,0.18,1.52,74.4,3.2,47.9,1636.0,906.0,319.0,1.29,1.26,74.6,21.0,1434.0,1115.0,0.0
frozen,https://hltv.org/stats/players/9960/frozen?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.35,0.0,0.0,0.0,0.77,1.17,92.1,0.86,0.6,0.16,1.42,76.6,5.0,58.2,902.0,489.0,227.0,1.21,1.14,78.6,16.5,772.0,545.0,0.0
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.33,0.0,0.0,0.95,0.94,1.21,90.6,0.8,0.6,0.22,1.41,78.2,9.2,37.8,1247.0,656.0,244.0,1.49,1.26,80.1,20.2,998.0,754.0,0.0
juliano,https://hltv.org/stats/players/7653/juliano?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.29,0.0,0.0,0.0,0.0,0.0,86.7,0.82,0.6,0.15,1.33,75.3,3.7,45.8,892.0,482.0,199.0,1.56,1.2,77.9,17.0,732.0,533.0,0.0
dizzyLife,https://hltv.org/stats/players/8766/dizzyLife?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.28,0.0,0.0,0.0,0.0,0.0,87.5,0.84,0.63,0.14,1.42,72.9,3.0,30.1,1150.0,606.0,248.0,1.42,1.22,80.7,21.5,967.0,719.0,0.0
zAAz,https://hltv.org/stats/players/1646/zAAz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.28,0.0,0.0,0.0,0.0,0.0,88.1,0.84,0.63,0.15,1.33,75.6,2.7,55.7,892.0,479.0,184.0,1.45,1.14,83.6,16.5,748.0,564.0,0.0
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,1.38,1.22,1.24,1.21,1.28,93.0,0.85,0.71,0.16,1.46,71.2,6.9,53.1,2175.0,1124.0,304.0,1.19,1.19,75.2,21.0,1838.0,1534.0,0.0
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,1.24,1.3,1.1,1.16,1.18,87.7,0.83,0.64,0.14,1.36,74.6,2.7,48.1,1706.0,890.0,326.0,1.02,1.09,72.2,16.3,1424.0,1098.0,0.0
huNter-,https://hltv.org/stats/players/3972/huNter-?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,0.0,0.0,0.86,0.92,0.97,88.7,0.81,0.65,0.17,1.34,74.4,5.4,42.3,1011.0,530.0,165.0,1.4,1.19,79.9,18.7,818.0,653.0,0.0
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.26,1.19,1.11,1.01,1.12,1.18,87.9,0.83,0.63,0.15,1.25,75.5,4.9,39.0,2413.0,1256.0,474.0,1.34,0.99,77.3,12.5,2004.0,1530.0,0.0
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.26,0.0,0.0,1.21,1.21,1.16,84.7,0.8,0.59,0.16,1.23,76.6,5.3,38.4,1331.0,710.0,283.0,1.06,1.03,77.3,13.8,1070.0,787.0,0.0
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.26,1.13,1.16,1.23,1.23,1.23,87.9,0.85,0.65,0.11,1.33,72.3,1.9,45.6,2540.0,1374.0,492.0,1.46,1.16,75.8,18.6,2153.0,1661.0,0.0
hAdji,https://hltv.org/stats/players/9656/hAdji?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.25,0.0,0.0,0.0,0.0,1.15,86.6,0.81,0.65,0.16,1.29,75.2,4.0,48.8,1155.0,607.0,187.0,1.12,1.09,79.3,16.6,932.0,745.0,0.0
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.25,1.21,1.22,1.23,1.23,1.24,83.6,0.82,0.59,0.12,1.16,76.0,1.7,48.8,4359.0,2331.0,990.0,1.37,0.98,74.8,11.3,3559.0,2569.0,0.0
RIKO,https://hltv.org/stats/players/11737/RIKO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.24,0.0,1.04,0.72,0.76,0.8,87.4,0.81,0.68,0.17,1.29,74.9,3.6,53.7,1105.0,574.0,150.0,1.12,1.07,81.7,16.6,896.0,746.0,0.0
JaCkz,https://hltv.org/stats/players/284/JaCkz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.24,0.0,0.0,0.0,0.0,1.24,83.9,0.77,0.65,0.18,1.3,75.3,4.0,58.2,1188.0,599.0,150.0,1.24,1.16,82.6,19.3,917.0,767.0,0.0
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.23,1.17,1.23,1.23,1.23,1.23,86.9,0.81,0.65,0.13,1.28,73.4,3.4,51.5,3485.0,1819.0,562.0,1.25,1.13,72.1,16.6,2822.0,2260.0,0.0
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.23,1.26,1.04,1.15,1.17,1.2,83.1,0.79,0.61,0.13,1.2,76.0,3.4,53.8,1677.0,881.0,305.0,1.7,1.08,80.2,14.4,1331.0,1026.0,0.0
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.23,0.0,0.0,0.0,0.0,1.07,83.7,0.77,0.63,0.18,1.27,75.6,2.1,36.8,903.0,457.0,120.0,1.47,1.14,75.5,17.3,693.0,573.0,0.0
Impulse,https://hltv.org/stats/players/12379/Impulse?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.22,0.0,0.0,0.86,0.93,1.09,80.4,0.76,0.6,0.12,1.28,73.6,3.3,36.6,1018.0,500.0,170.0,1.4,1.16,76.7,18.3,778.0,608.0,0.0
Texta,https://hltv.org/stats/players/11847/Texta?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.22,0.0,0.0,0.0,1.11,1.17,89.8,0.83,0.72,0.18,1.36,72.9,3.7,40.6,1602.0,838.0,173.0,1.07,1.11,72.8,18.6,1326.0,1153.0,0.0
fer,https://hltv.org/stats/players/8564/fer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.21,1.15,1.18,1.21,1.2,1.21,86.7,0.78,0.67,0.16,1.33,71.4,4.6,44.7,4359.0,2190.0,466.0,1.15,1.17,82.1,20.9,3406.0,2940.0,0.0
MonttY,https://hltv.org/stats/players/9961/MonttY?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.21,0.0,0.0,0.0,0.92,0.99,78.7,0.74,0.6,0.16,1.17,77.5,2.3,48.0,902.0,440.0,125.0,1.42,1.06,82.6,13.7,663.0,538.0,0.0
INS,https://hltv.org/stats/players/11140/INS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.2,0.57,1.1,0.99,1.16,1.13,88.6,0.78,0.68,0.18,1.25,72.7,7.0,39.8,1230.0,643.0,125.0,1.08,1.08,73.3,15.7,957.0,832.0,0.0
paz,https://hltv.org/stats/players/9353/paz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.2,1.19,0.95,1.12,1.08,1.18,80.9,0.77,0.62,0.12,1.19,74.2,1.9,48.7,1259.0,640.0,193.0,1.12,0.99,74.8,11.6,968.0,775.0,0.0
queztone,https://hltv.org/stats/players/7749/queztone?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.2,0.0,0.0,0.0,0.89,0.99,81.2,0.75,0.61,0.16,1.2,74.8,3.5,45.7,902.0,440.0,123.0,1.42,1.1,78.2,14.2,674.0,551.0,0.0
ZEDKO,https://hltv.org/stats/players/8488/ZEDKO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.0,0.0,0.0,0.99,1.08,79.1,0.72,0.6,0.16,1.15,77.4,6.0,49.6,902.0,434.0,107.0,1.26,1.11,83.3,16.2,649.0,542.0,0.0
GruBy,https://hltv.org/stats/players/8570/GruBy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.0,0.0,1.13,1.04,1.19,86.3,0.77,0.67,0.17,1.2,74.3,2.1,41.3,1022.0,509.0,102.0,1.35,1.05,71.4,13.5,791.0,689.0,0.0
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.61,0.99,1.05,1.1,1.14,80.3,0.75,0.62,0.14,1.13,76.0,2.9,48.7,1706.0,865.0,237.0,1.36,1.04,74.7,13.3,1287.0,1050.0,0.0
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.0,0.0,0.39,0.39,0.39,80.9,0.78,0.61,0.12,1.2,71.8,6.4,33.8,1164.0,606.0,190.0,1.96,1.15,79.6,17.6,905.0,715.0,0.0
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,1.12,1.17,1.12,1.16,1.17,85.7,0.79,0.68,0.14,1.3,71.0,3.6,47.4,2402.0,1220.0,267.0,1.23,1.11,74.8,17.3,1904.0,1637.0,0.0
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.0,0.0,1.16,1.14,1.07,77.9,0.76,0.61,0.1,1.28,70.7,3.8,24.7,1165.0,583.0,176.0,1.61,1.21,80.1,20.3,889.0,713.0,0.0
oskar,https://hltv.org/stats/players/798/oskar?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.19,1.1,1.17,1.16,1.18,1.19,81.6,0.79,0.65,0.12,1.3,70.1,2.7,30.2,2275.0,1158.0,317.0,1.21,1.15,74.1,19.0,1790.0,1473.0,0.0
PTC,https://hltv.org/stats/players/13238/PTC?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.19,0.0,0.0,1.05,0.98,0.96,79.1,0.81,0.63,0.11,1.22,71.7,1.8,35.1,1132.0,592.0,204.0,1.49,1.1,75.2,16.0,912.0,708.0,0.0
mertz,https://hltv.org/stats/players/9895/mertz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,0.93,0.99,1.08,81.3,0.77,0.66,0.11,1.27,71.4,1.1,35.3,1281.0,653.0,146.0,1.57,1.28,81.6,24.5,987.0,841.0,0.0
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,0.83,0.91,0.99,86.4,0.78,0.64,0.15,1.13,72.8,4.0,44.0,996.0,513.0,142.0,1.12,0.95,75.3,11.8,780.0,638.0,0.0
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.18,1.12,1.17,1.17,1.17,1.17,77.2,0.79,0.61,0.1,1.17,73.2,3.2,29.9,3094.0,1620.0,533.0,1.61,1.1,76.9,15.7,2434.0,1901.0,0.0
DiMKE,https://hltv.org/stats/players/3732/DiMKE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,1.28,1.22,1.0,85.0,0.75,0.67,0.16,1.2,73.9,3.9,47.5,1133.0,565.0,88.0,1.27,1.09,77.7,17.1,852.0,764.0,0.0
mir,https://hltv.org/stats/players/8789/mir?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,1.21,1.08,1.11,1.12,84.0,0.79,0.66,0.12,1.21,72.0,4.5,48.7,1572.0,823.0,203.0,1.26,1.07,74.7,15.9,1246.0,1043.0,0.0
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.71,1.09,1.03,1.06,85.3,0.76,0.64,0.14,1.2,71.0,4.1,54.3,1484.0,750.0,186.0,1.02,1.0,74.8,13.3,1135.0,949.0,0.0
VKLL,https://hltv.org/stats/players/8426/VKLL?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,0.0,0.0,1.21,82.4,0.74,0.63,0.16,1.11,75.2,5.2,55.1,1159.0,585.0,128.0,1.07,0.98,84.8,13.2,856.0,728.0,0.0
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.89,0.89,0.96,1.13,84.4,0.78,0.67,0.13,1.18,73.5,3.5,52.8,1478.0,754.0,167.0,1.19,1.02,71.2,13.9,1158.0,991.0,0.0
deoxiDE,https://hltv.org/stats/players/9117/deoxiDE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,0.0,0.0,0.0,84.8,0.76,0.62,0.17,1.14,72.2,6.0,43.2,933.0,460.0,133.0,1.16,0.92,77.6,10.7,709.0,576.0,0.0
Freeman,https://hltv.org/stats/players/10774/Freeman?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.7,0.7,0.79,0.98,1.1,83.7,0.78,0.66,0.13,1.17,72.9,3.4,50.7,1560.0,807.0,187.0,1.16,1.02,69.2,13.5,1224.0,1037.0,0.0
device,https://hltv.org/stats/players/7592/device?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.18,1.08,1.14,1.16,1.18,1.18,78.8,0.77,0.62,0.11,1.25,70.6,3.3,32.2,2828.0,1443.0,413.0,1.38,1.18,78.2,19.6,2177.0,1764.0,0.0
PetitSkel,https://hltv.org/stats/players/8648/PetitSkel?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.18,0.0,0.0,0.0,0.0,1.3,79.0,0.72,0.61,0.17,1.06,77.3,4.2,43.7,1624.0,792.0,192.0,0.98,0.91,67.8,8.4,1177.0,985.0,0.0
Ryxxo,https://hltv.org/stats/players/8848/Ryxxo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.17,0.89,0.89,0.87,1.0,1.12,77.0,0.75,0.61,0.11,1.2,72.6,5.0,33.7,1531.0,767.0,204.0,1.51,1.13,75.0,16.8,1141.0,937.0,0.0
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.17,0.0,1.15,1.08,1.04,1.08,85.6,0.76,0.69,0.14,1.24,72.3,6.5,46.8,1934.0,986.0,135.0,1.33,1.17,72.5,18.8,1473.0,1338.0,0.0
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.17,1.23,1.07,1.1,1.12,1.15,83.7,0.76,0.66,0.13,1.16,71.8,4.3,49.4,1234.0,626.0,126.0,1.15,1.04,73.8,15.2,940.0,814.0,0.0
LETN1,https://hltv.org/stats/players/4216/LETN1?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.17,0.0,0.0,1.16,1.11,1.08,76.8,0.74,0.61,0.13,1.16,73.4,2.9,46.6,1011.0,495.0,131.0,1.2,1.09,78.8,15.6,746.0,615.0,0.0
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.17,0.96,1.05,1.07,1.1,1.12,85.3,0.74,0.66,0.17,1.17,72.6,4.8,42.0,2441.0,1186.0,195.0,1.14,1.0,75.1,14.6,1807.0,1612.0,0.0
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.77,0.99,0.99,0.97,1.07,84.0,0.79,0.69,0.14,1.23,71.6,1.5,47.6,1976.0,1007.0,200.0,1.14,1.04,76.7,15.8,1570.0,1370.0,0.0
SOKER,https://hltv.org/stats/players/7388/SOKER?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.96,0.97,0.97,80.5,0.75,0.67,0.13,1.24,72.6,2.5,40.0,978.0,493.0,80.0,1.39,1.19,69.1,17.5,735.0,655.0,0.0
DJOXiC,https://hltv.org/stats/players/3543/DJOXiC?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,1.05,1.02,1.04,72.1,0.73,0.56,0.08,1.17,72.2,3.0,29.3,1011.0,488.0,171.0,1.61,1.16,83.5,17.8,740.0,569.0,0.0
rain,https://hltv.org/stats/players/8183/rain?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.16,1.08,1.15,1.17,1.16,1.16,84.5,0.74,0.67,0.14,1.22,71.4,3.3,58.9,3643.0,1780.0,255.0,1.14,1.13,74.2,17.9,2713.0,2458.0,0.0
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.75,1.11,1.09,1.01,1.12,82.6,0.73,0.64,0.17,1.11,74.9,6.2,46.7,1706.0,849.0,156.0,1.12,1.0,73.0,12.5,1247.0,1091.0,0.0
KHRN,https://hltv.org/stats/players/971/KHRN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.7,0.76,1.03,76.9,0.7,0.59,0.19,1.11,75.9,5.3,48.0,1247.0,586.0,137.0,1.17,0.98,85.3,12.3,870.0,733.0,0.0
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.0,1.21,1.09,80.3,0.73,0.67,0.16,1.21,75.5,3.8,45.9,956.0,459.0,59.0,1.05,1.1,70.2,16.6,702.0,643.0,0.0
Ant1ka,https://hltv.org/stats/players/10283/Ant1ka?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.0,0.0,0.0,75.8,0.71,0.59,0.16,1.06,77.4,6.5,40.4,946.0,459.0,112.0,1.12,0.99,83.7,12.0,670.0,558.0,0.0
HenkkyG,https://hltv.org/stats/players/9666/HenkkyG?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.0,0.0,0.96,79.4,0.74,0.63,0.15,1.16,73.4,4.8,52.0,1259.0,614.0,129.0,1.18,1.02,69.9,12.3,928.0,799.0,0.0
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,1.12,1.02,0.96,1.03,1.14,78.6,0.77,0.66,0.11,1.25,71.1,2.2,27.2,1021.0,518.0,106.0,1.57,1.23,69.2,20.5,783.0,677.0,0.0
bnwGiggs,https://hltv.org/stats/players/9287/bnwGiggs?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.16,0.0,0.0,0.0,1.01,1.01,80.1,0.75,0.67,0.16,1.21,73.3,2.2,40.8,1503.0,739.0,118.0,1.09,1.08,76.3,16.9,1132.0,1014.0,0.0
Hobbit,https://hltv.org/stats/players/8528/Hobbit?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.16,1.13,1.11,1.1,1.12,1.15,82.9,0.76,0.66,0.14,1.15,72.1,5.5,46.6,2793.0,1434.0,289.0,1.22,1.04,65.5,12.9,2121.0,1832.0,0.0
twist,https://hltv.org/stats/players/7443/twist?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,0.8,1.0,1.07,1.05,1.13,80.8,0.76,0.66,0.13,1.23,70.9,3.2,43.5,1443.0,725.0,142.0,1.14,1.12,73.5,18.5,1100.0,958.0,0.0
aliStair,https://hltv.org/stats/players/11139/aliStair?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,0.76,1.09,0.91,0.95,1.08,80.6,0.75,0.67,0.14,1.26,70.1,2.4,40.4,1320.0,659.0,115.0,1.15,1.13,82.0,19.7,996.0,881.0,0.0
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,1.09,1.07,1.08,1.11,1.14,87.7,0.76,0.73,0.16,1.34,69.5,4.3,56.1,1598.0,775.0,48.0,0.93,1.17,71.4,22.2,1209.0,1161.0,0.0
Lambert,https://hltv.org/stats/players/8047/Lambert?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,0.0,0.0,0.0,0.0,1.1,71.9,0.72,0.58,0.11,1.14,73.8,2.0,28.6,1466.0,722.0,209.0,1.25,1.09,80.4,15.5,1057.0,848.0,0.0
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.15,1.09,1.09,1.14,1.14,1.15,84.1,0.77,0.7,0.15,1.26,70.5,3.3,50.5,2886.0,1466.0,205.0,1.13,1.12,67.7,17.6,2225.0,2020.0,0.0
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,1.1,1.11,1.11,1.14,1.14,80.2,0.76,0.66,0.12,1.14,73.3,3.5,56.3,2941.0,1448.0,300.0,1.25,1.02,71.4,14.0,2228.0,1928.0,0.0
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,1.15,1.07,1.07,1.09,1.13,80.5,0.73,0.67,0.15,1.18,74.1,3.4,48.7,1869.0,906.0,117.0,1.07,1.08,72.0,16.6,1365.0,1248.0,0.0
dexter,https://hltv.org/stats/players/9115/dexter?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,0.0,0.0,0.0,1.52,1.14,80.6,0.76,0.65,0.11,1.17,71.0,3.6,44.3,1046.0,510.0,117.0,1.13,1.03,72.0,13.9,796.0,679.0,0.0
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.15,0.8,0.88,0.86,0.9,1.1,86.5,0.79,0.72,0.13,1.2,69.9,2.6,50.0,1396.0,708.0,101.0,0.99,1.02,68.2,15.7,1107.0,1006.0,0.0
NENO,https://hltv.org/stats/players/2299/NENO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.0,0.0,0.61,0.82,0.9,79.1,0.73,0.62,0.15,1.06,74.0,4.9,42.9,991.0,500.0,106.0,1.31,1.0,80.9,12.4,721.0,615.0,0.0
draken,https://hltv.org/stats/players/9255/draken?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,1.05,1.12,1.09,1.1,1.12,74.7,0.73,0.62,0.11,1.21,70.6,1.4,28.1,1964.0,957.0,213.0,1.4,1.2,76.4,20.5,1432.0,1219.0,0.0
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.62,0.77,0.73,1.01,1.05,83.1,0.75,0.72,0.17,1.26,71.7,3.4,47.8,1935.0,971.0,66.0,0.98,1.11,72.9,18.4,1454.0,1388.0,0.0
CaNNiE,https://hltv.org/stats/players/13566/CaNNiE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.0,0.0,0.0,0.0,0.84,80.1,0.74,0.73,0.14,1.35,69.2,3.3,34.6,985.0,481.0,17.0,1.12,1.25,70.6,22.1,732.0,715.0,0.0
stan1ey,https://hltv.org/stats/players/12523/stan1ey?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.0,0.0,0.69,0.69,1.1,83.1,0.75,0.73,0.16,1.23,72.1,4.2,44.9,963.0,464.0,21.0,1.0,1.1,73.4,18.1,720.0,699.0,0.0
gade,https://hltv.org/stats/players/8875/gade?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.0,0.0,0.93,0.98,1.0,78.3,0.73,0.67,0.14,1.19,71.8,2.2,52.4,1119.0,521.0,76.0,0.94,1.04,72.7,15.6,821.0,745.0,0.0
Kaze,https://hltv.org/stats/players/8950/Kaze?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.14,0.0,1.2,1.06,0.95,0.92,77.6,0.74,0.65,0.1,1.17,71.2,2.5,28.0,1867.0,911.0,175.0,1.56,1.15,69.4,17.2,1382.0,1207.0,0.0
fejtZ,https://hltv.org/stats/players/7910/fejtZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.91,0.91,1.06,1.05,1.06,75.0,0.73,0.63,0.12,1.05,76.2,3.9,45.4,1006.0,502.0,101.0,1.52,1.0,81.2,12.9,735.0,634.0,0.0
xartE,https://hltv.org/stats/players/7537/xartE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.0,0.0,0.86,0.92,1.02,70.8,0.68,0.57,0.12,1.1,74.8,6.6,34.0,1247.0,569.0,146.0,1.44,1.13,77.3,15.3,852.0,706.0,0.0
ayaya,https://hltv.org/stats/players/10186/ayaya?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.0,0.0,0.0,1.09,1.1,82.8,0.77,0.69,0.13,1.19,70.5,3.5,44.0,1213.0,620.0,91.0,1.09,1.08,73.8,17.2,930.0,839.0,0.0
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.13,1.08,1.09,1.12,1.13,1.13,73.5,0.7,0.59,0.11,1.1,72.9,2.7,31.3,4359.0,2097.0,445.0,1.56,1.16,74.8,16.8,3032.0,2587.0,0.0
TOR,https://hltv.org/stats/players/9288/TOR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.0,0.0,0.0,0.88,1.06,78.8,0.75,0.67,0.13,1.21,70.6,2.9,26.8,1731.0,859.0,141.0,1.35,1.15,77.5,19.2,1300.0,1159.0,0.0
Rickeh,https://hltv.org/stats/players/8745/Rickeh?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,1.13,1.19,1.09,1.12,1.11,79.3,0.7,0.64,0.14,1.16,71.0,4.0,40.0,1488.0,702.0,90.0,1.49,1.17,74.0,19.3,1040.0,950.0,0.0
yam,https://hltv.org/stats/players/2555/yam?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.72,0.97,0.97,0.97,0.87,74.6,0.71,0.63,0.13,1.26,69.2,4.9,29.8,1064.0,514.0,83.0,2.2,1.38,75.8,24.7,756.0,673.0,0.0
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,1.12,1.06,1.07,1.09,1.12,73.1,0.72,0.59,0.11,1.08,73.1,2.1,27.2,1608.0,787.0,200.0,1.55,1.08,68.6,14.4,1153.0,953.0,0.0
