,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
kNgV-,https://hltv.org/stats/players/5736/kNgV-?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.94,0.96,1.02,1.04,1.04,76.2,0.74,0.7,0.12,1.16,68.4,1.8,37.0,1755.0,864.0,81.0,0.94,1.04,71.3,15.5,1301.0,1220.0,0.0
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.29,0.29,0.72,0.79,0.86,78.1,0.69,0.69,0.14,1.06,72.2,2.8,47.9,1320.0,618.0,6.0,1.08,1.0,79.4,14.9,913.0,907.0,0.0
valde,https://hltv.org/stats/players/9031/valde?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.99,1.01,1.03,1.05,1.07,78.2,0.69,0.68,0.14,1.07,71.1,4.2,42.9,1668.0,793.0,19.0,1.21,1.02,76.8,15.0,1155.0,1136.0,0.0
AnJ,https://hltv.org/stats/players/9317/AnJ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,1.11,0.85,0.81,0.97,1.02,75.2,0.71,0.67,0.12,1.12,70.3,3.6,50.9,1456.0,690.0,65.0,1.03,1.04,69.8,15.5,1037.0,972.0,0.0
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.0,0.96,1.0,1.05,0.99,77.4,0.69,0.67,0.14,1.05,71.2,3.3,55.3,1572.0,745.0,44.0,0.87,0.96,75.0,13.6,1092.0,1048.0,0.0
xiaosaGe,https://hltv.org/stats/players/11574/xiaosaGe?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.0,0.0,0.53,0.59,0.59,83.6,0.71,0.71,0.17,1.09,69.8,4.7,45.8,1102.0,521.0,-8.0,0.92,0.97,71.2,13.2,778.0,786.0,0.0
ngiN,https://hltv.org/stats/players/9857/ngiN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,1.4,0.89,1.06,1.02,1.07,71.7,0.67,0.61,0.12,0.99,72.5,3.5,44.0,1546.0,719.0,97.0,1.15,0.97,80.9,12.1,1041.0,944.0,0.0
Lukki,https://hltv.org/stats/players/8871/Lukki?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,1.11,1.11,1.16,1.1,1.08,74.9,0.7,0.67,0.15,1.08,71.9,2.3,48.8,1531.0,720.0,43.0,0.89,0.96,80.7,14.3,1068.0,1025.0,0.0
DD,https://hltv.org/stats/players/7026/DD?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,1.0,0.97,0.98,0.99,1.01,78.6,0.69,0.69,0.16,1.06,71.8,3.2,43.3,2854.0,1322.0,3.0,0.88,0.96,75.5,13.5,1974.0,1971.0,0.0
JUSTCAUSE,https://hltv.org/stats/players/15111/JUSTCAUSE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.0,0.0,0.0,0.0,0.48,80.6,0.71,0.72,0.15,1.13,70.6,1.6,43.3,952.0,466.0,-3.0,1.17,1.08,73.9,16.5,679.0,682.0,0.0
