,Webpage
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
reatz,https://hltv.org/stats/players/8242/reatz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
splashske,https://hltv.org/stats/players/8943/splashske?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ToM223,https://hltv.org/stats/players/15300/ToM223?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
paz,https://hltv.org/stats/players/9353/paz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
zeff,https://hltv.org/stats/players/4637/zeff?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
twist,https://hltv.org/stats/players/7443/twist?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
JW,https://hltv.org/stats/players/3849/JW?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
byali,https://hltv.org/stats/players/5386/byali?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
arvid,https://hltv.org/stats/players/9325/arvid?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
nex,https://hltv.org/stats/players/7256/nex?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
neptune,https://hltv.org/stats/players/12101/neptune?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Jame,https://hltv.org/stats/players/13776/Jame?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
mou,https://hltv.org/stats/players/964/mou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
