,Webpage,AgainstTop50
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
shroud,https://hltv.org/stats/players/8349/shroud?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
rindA,https://hltv.org/stats/players/9336/rindA?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
steel,https://hltv.org/stats/players/7382/steel?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
RUBINO,https://hltv.org/stats/players/1485/RUBINO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
RpK,https://hltv.org/stats/players/7169/RpK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
NEO,https://hltv.org/stats/players/165/NEO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
markeloff,https://hltv.org/stats/players/338/markeloff?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SIXER,https://hltv.org/stats/players/147/SIXER?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Dosia,https://hltv.org/stats/players/735/Dosia?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Sound,https://hltv.org/stats/players/9175/Sound?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
wayLander,https://hltv.org/stats/players/7796/wayLander?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Friis,https://hltv.org/stats/players/7/Friis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Zero,https://hltv.org/stats/players/8413/Zero?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Relyks,https://hltv.org/stats/players/8517/Relyks?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
DEVIL,https://hltv.org/stats/players/8569/DEVIL?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
jdm64,https://hltv.org/stats/players/8346/jdm64?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
TENZKI,https://hltv.org/stats/players/5287/TENZKI?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
yam,https://hltv.org/stats/players/2555/yam?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
333ed2k,https://hltv.org/stats/players/10169/333ed2k?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
juho,https://hltv.org/stats/players/7775/juho?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
bodyy,https://hltv.org/stats/players/8374/bodyy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
pyth,https://hltv.org/stats/players/7527/pyth?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
kzy,https://hltv.org/stats/players/3517/kzy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
spyleadeR,https://hltv.org/stats/players/3183/spyleadeR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
tiziaN,https://hltv.org/stats/players/5796/tiziaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SEMPHIS,https://hltv.org/stats/players/1915/SEMPHIS?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
reltuC,https://hltv.org/stats/players/8137/reltuC?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
