,Webpage,AgainstTop50
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
RpK,https://hltv.org/stats/players/7169/RpK?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
DickStacy,https://hltv.org/stats/players/12876/DickStacy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
yel,https://hltv.org/stats/players/10560/yel?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
fitch,https://hltv.org/stats/players/10052/fitch?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
SANJI,https://hltv.org/stats/players/11716/SANJI?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ableJ,https://hltv.org/stats/players/16770/ableJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
mirbit,https://hltv.org/stats/players/11701/mirbit?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
dephh,https://hltv.org/stats/players/7873/dephh?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
LETN1,https://hltv.org/stats/players/4216/LETN1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Golden,https://hltv.org/stats/players/11110/Golden?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
daps,https://hltv.org/stats/players/8521/daps?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
tiziaN,https://hltv.org/stats/players/5796/tiziaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
HUNDEN,https://hltv.org/stats/players/7415/HUNDEN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
advent,https://hltv.org/stats/players/8600/advent?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
gob b,https://hltv.org/stats/players/136/gob%20b?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
